,Filename,ALBUM,ARTIST,GENRE,TITLE,YEAR,TAG
0,김나영 - 솔직하게 말해서 나,솔직하게 말해서 나,김나영,Ballad,솔직하게 말해서 나,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
1,"장혜진, 윤민수 - 술이 문제야",술이 문제야,"장혜진, 윤민수",Ballad,술이 문제야 (Drunk On Love),2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
2,Anne-Marie - 2002,Speak Your Mind [Deluxe],Anne-Marie,"R&B, Pop",2002,2018,#R&B #Soul #국내 #인디 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
3,임재현 - 사랑에 연습이 있었다면,사랑에 연습이 있었다면,임재현,Ballad,사랑에 연습이 있었다면,2018,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
4,다비치 - 너에게 못했던 내 마지막 말은,너에게 못했던 내 마지막 말은,다비치,Ballad,너에게 못했던 내 마지막 말은,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
5,어반자카파 - 서울 밤 (Feat. 빈지노),서울 밤,어반 자카파(Urban Zakapa),"R&B, Soul",서울 밤 (Feat. 빈지노),2019,#R&B #Soul #국내 #인디 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
6,Billie Eilish - bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Alternative,bad guy,2019,#국외 #오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
7,방탄소년단 - 작은 것들을 위한 시 (Boy with Luv),MAP OF THE SOUL : PERSONA,"방탄소년단,Halsey","Rap, Hip",작은 것들을 위한 시 (Boy with Luv),2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
8,이하이 - 누구 없소 (NO ONE) (Feat. B.I of iKON),24℃,이하이,Dance,누구 없소 (NO ONE) (Feat. B.I of iKON),2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
9,Naomi Scott - Speechless (Full),Aladdin (Original Motion Picture Soundtrack),Naomi Scott,Soundtrack,Speechless (Full),2019,#국외 #오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
10,송하예 - 니 소식,니 소식,송하예,Ballad,니 소식,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
11,잔나비 - 주저하는 연인들을 위해,전설,잔나비,Rock,주저하는 연인들을 위해,2019,#국내 #록 #락 #고음질FLAC #편안한 #감성적인 #가을 #어쿠스틱한 노래모음 #출근/퇴근길에 듣기좋은 노래 #편안하게 듣는 잔잔한 음악
12,TWICE (트와이스) - FANCY,FANCY YOU,TWICE(트와이스),Dance,FANCY,2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
13,먼데이 키즈 (Monday Kiz) - 사랑이 식었다고 말해도 돼,사랑이 식었다고 말해도 돼,먼데이 키즈,Ballad,사랑이 식었다고 말해도 돼,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
14,장범준 - 노래방에서,장범준 3집,장범준,Rock,노래방에서,2019,#국내 #록 #락 #고음질FLAC #편안한 #감성적인 #가을 #어쿠스틱한 노래모음 #출근/퇴근길에 듣기좋은 노래 #편안하게 듣는 잔잔한 음악
15,박효신 - Goodbye,Goodbye,박효신 (Park Hyo Shin),Ballad,Goodbye,2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
16,태연 - 사계 (Four Seasons),Four Seasons,태연,Ballad,사계 (Four Seasons),2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
17,Red Velvet (레드벨벳) - 짐살라빔 (Zimzalabim),`The ReVe Festival` Day 1,Red Velvet (레드벨벳),Dance,짐살라빔 (Zimzalabim),2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
